ID_CLIENTE,SAFRA_REF,NO_FUNCIONARIOS,RENDA_MES_ANTERIOR_LOG
1661240395903230676,2018-09,92.0,9.735896960342167
8274986328479596038,2018-09,141.0,11.575252166837984
345447888460137901,2018-09,99.0,13.469408099249616
1003144834589372198,2018-09,96.0,12.386976531236508
324916756972236008,2018-09,103.0,12.221571908977097
4679462479444735708,2018-09,120.0,10.878462200746059
1276604410881911401,2018-09,79.0,11.48368201300056
8123515208041701633,2018-09,72.0,11.866472522167614
4530631557358349711,2018-09,101.0,12.12833270112764
3668905663669864663,2018-09,137.0,12.710293505786293
7041489327620930099,2018-09,105.0,12.048020197027157
3118152790263512426,2018-09,82.0,11.906176281398814
1366416810235233769,2018-09,99.0,11.77488964941638
4395946187332973749,2018-09,125.0,12.434446494957307
1299146298565441811,2018-09,107.0,12.996911259367712
4052557282157719526,2018-09,103.0,12.178840185255625
6795467882769787169,2018-09,153.0,11.76117520187829
2550506309527280168,2018-09,97.0,13.018377472092208
8724731934863284019,2018-09,115.0,12.003705511930198
314309872114206760,2018-09,84.0,12.535142552384624
2250817603281429928,2018-09,99.0,12.538235610563289
5301988619224057921,2018-09,107.0,12.252197355769455
3248432590399829766,2018-09,128.0,12.291213106781246
4095739077267179172,2018-09,122.0,12.587241645762916
2092588065958607289,2018-09,128.0,12.548668948859346
1078687383992817574,2018-09,132.0,12.929666583497326
4717593620120611957,2018-09,100.0,11.98097719049072
7970976988071755401,2018-09,123.0,11.167063280451986
1683619849073499603,2018-09,121.0,12.222890430456333
8784237149961904,2018-09,107.0,12.613213016268631
6926309382371178621,2018-09,106.0,13.115479739438003
5753677550753111444,2018-09,99.0,12.744266324087361
4524147234488547993,2018-09,116.0,12.747693200419386
4347826483121154490,2018-09,96.0,11.822745670594015
6100972975033180377,2018-09,95.0,11.540375248678329
4334472256949955221,2018-09,109.0,12.778768232999456
2619109825960703851,2018-09,101.0,12.119686527570824
2397171153213063761,2018-09,89.0,11.690946119462478
683445437387317282,2018-09,104.0,13.324255508428442
192916471960784723,2018-09,105.0,11.641045995246088
2634859679238614382,2018-09,125.0,12.409311404329516
940214356651040716,2018-09,82.0,12.449587289984214
1192891347324061812,2018-09,90.0,11.988022351531924
8901696535927078963,2018-09,131.0,11.365341510264392
3022528659032597047,2018-09,102.0,13.033733236377422
7810315632865163836,2018-09,107.0,11.58529263709613
6964108750473070287,2018-09,100.0,12.470100909397821
7818340804682162328,2018-09,101.0,12.68790293827489
7671566034617837932,2018-09,118.0,10.815549355080247
3192341047315717823,2018-09,89.0,11.48358933793472
162896151509189921,2018-09,99.0,12.535987716567606
8729164666041467296,2018-09,122.0,13.072916797841444
2645324649046215594,2018-09,105.0,13.012142178855235
382095722273502031,2018-09,79.0,12.22182787747468
4795152981525833467,2018-09,114.0,11.70134505755925
2025898153078562640,2018-09,105.0,12.402646323301765
2451708306555441014,2018-09,79.0,13.21213460915551
4465150716052427320,2018-09,83.0,11.876074407284445
2088532321693492263,2018-09,98.0,13.455107243711323
2530707686830644666,2018-09,112.0,12.448179256115665
459290606780222306,2018-09,85.0,13.440529067042899
4061297388883391410,2018-09,104.0,10.47872356423098
8961924617442201922,2018-09,100.0,12.169673149000166
4661684997487171886,2018-09,141.0,12.142541616701742
1104269683367198574,2018-09,116.0,12.628260479504888
5761480994209806499,2018-09,125.0,13.164506738535078
4556737702757145073,2018-09,106.0,11.37930263959443
1368430815953333691,2018-09,98.0,12.598148516519322
8915958534285799867,2018-09,150.0,8.797246236703527
835441927760881602,2018-09,98.0,10.296846340649244
3218792504195936313,2018-09,102.0,13.40996494661581
5477900120643078645,2018-09,100.0,12.354281421444577
3095686599956852697,2018-09,144.0,12.240039195093447
8348574220426911086,2018-09,102.0,11.70456183718884
1357573192598249600,2018-09,112.0,12.877817419829682
5522764880180045081,2018-09,92.0,12.269634127019918
4043546053926060305,2018-09,80.0,11.740570867727845
8512214463586144353,2018-09,94.0,11.935752315340252
837142477962609471,2018-09,109.0,11.818489203205418
410843023337872279,2018-09,89.0,12.094548730644842
8646472172649019955,2018-09,114.0,13.298681952302118
351031887141663937,2018-09,95.0,11.681959127437247
4414438591613884911,2018-09,105.0,13.554622303657647
692350198401528327,2018-09,92.0,12.67021538325575
4569866309119931805,2018-09,119.0,12.818858109205221
5999145415800242177,2018-09,104.0,12.361211408471066
7930925883736021864,2018-09,111.0,12.264968715437645
2678966409665050034,2018-09,107.0,13.003208150724314
4593070249039532001,2018-09,80.0,11.550096001022851
7910340581026492945,2018-09,95.0,12.870115370617448
5503391736465275980,2018-09,105.0,12.170771839492481
6828316696355015040,2018-09,101.0,11.477432993279729
5854364934896993687,2018-09,150.0,13.20414795176226
959720947754650706,2018-09,111.0,12.8658439982664
7485107528960607346,2018-09,109.0,13.531901512797104
510795635145114083,2018-09,86.0,12.771752864716568
6784879562354696650,2018-09,129.0,11.569097837275413
984915269987074754,2018-09,126.0,11.994900895372092
499242942549937267,2018-09,120.0,12.687439592041946
6731795019313479942,2018-09,110.0,12.264360421400681
3829967475074118757,2018-09,120.0,12.018048861898452
252206310123393284,2018-09,71.0,11.56698742306876
4817816966382229074,2018-09,112.0,12.938394865123431
6545052034269841737,2018-09,105.0,12.06473946941353
107343823625119033,2018-09,78.0,12.775601988536462
3279078057358159966,2018-09,125.0,12.784641960882682
5225029212547588718,2018-09,104.0,11.86627588881094
5371387005775513675,2018-09,112.0,12.269521510708264
7347715771145302549,2018-09,101.0,12.25411967650166
93982185886107798,2018-09,127.0,12.592110255972239
6969348581033924947,2018-09,132.0,12.413082749865588
7367321179169390502,2018-09,106.0,12.042959421827517
7031913170099381454,2018-09,97.0,12.08257078854283
7908414709866823255,2018-09,116.0,10.9124668489642
649279100559994713,2018-09,108.0,11.724328363761407
5897410907783139228,2018-09,118.0,13.203115371935997
8229446069655666941,2018-09,123.0,11.872639785321384
6271697692808086495,2018-09,126.0,13.161757152504604
8716163053080758848,2018-09,105.0,12.118382856653048
3218226066162129945,2018-09,94.0,11.244640708929097
1536087798470875922,2018-09,118.0,12.900893424842128
5860276371789140450,2018-09,109.0,12.726730771425624
665505091521986356,2018-09,102.0,11.559589561134114
851897122328714307,2018-09,93.0,13.847410307370064
6759864637454708017,2018-09,121.0,12.195961701779444
465309249432033993,2018-09,93.0,11.693228318887263
824632039241482307,2018-09,89.0,12.00895009240406
3480297543931395935,2018-09,121.0,13.140929946978167
8015571584405428572,2018-09,98.0,12.761169667776286
5409960473983330744,2018-09,116.0,12.808340067459985
4071158585850879204,2018-09,111.0,11.79115550739636
6985631100944640910,2018-09,97.0,12.764064258063662
1292049196559782171,2018-09,113.0,12.990766113147071
4635578010631860111,2018-09,82.0,13.131654084813185
238894451665334246,2018-09,99.0,13.028858966218035
7595945751692012281,2018-09,115.0,12.448854104692707
1958660709350677213,2018-09,107.0,11.559665910854044
1454789421854453615,2018-09,110.0,11.68303104293453
4614484019183480654,2018-09,96.0,11.550645051997243
