ID_CLIENTE,SAFRA_REF,NO_FUNCIONARIOS,RENDA_MES_ANTERIOR_LOG,SEGMENTO_INDUSTRIAL,PORTE,ESTADO,SEGMENTO_dummy,PORTE_dummy,ESTADO_dummy
8784237149961904,2018-09,107.0,12.613213016268631,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2018-10,98.0,13.120840217985757,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2018-11,104.0,12.453393554762643,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2018-12,105.0,12.980564762418824,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2019-01,112.0,12.822743667379505,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2019-02,103.0,12.989426093976268,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2019-03,106.0,13.074573412868435,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2019-04,110.0,12.677075775108992,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2019-05,110.0,12.170196732291677,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2019-06,107.0,11.788653876241977,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2019-07,113.0,12.500732814336947,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2019-08,105.0,12.46404265399643,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2019-09,103.0,12.471823476793826,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2019-10,111.0,11.090370147631774,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2019-11,110.0,13.838237337130634,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2019-12,108.0,12.953885552431025,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2020-01,110.0,12.402445025546788,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2020-02,112.0,12.128791953311081,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2020-03,120.0,11.91445617681517,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2020-04,114.0,12.247536034313145,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2020-05,109.0,11.616375156165253,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2020-06,115.0,11.756577276915788,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2020-07,111.0,12.518054570525367,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2020-08,118.0,11.535283647580895,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2020-09,114.0,12.802155358422256,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2020-10,115.0,11.421862254013227,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2020-11,115.0,11.5785633815511,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2020-12,113.0,10.7406917860895,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2021-01,124.0,12.110821963955795,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2021-02,118.0,12.460912518787346,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2021-03,121.0,11.891663225150712,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2021-04,116.0,11.342279482613773,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2021-05,124.0,12.357221682073105,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2021-06,118.0,11.977118495336116,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2021-07,124.0,12.86049978757837,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2021-08,119.0,11.544898825546353,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2021-09,116.0,11.843099337041433,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2021-10,121.0,12.174669693889935,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2021-11,126.0,12.840080038860995,Comércio,Pequeno,RJ,0,3,18
8784237149961904,2021-12,117.0,12.809133726983413,Comércio,Pequeno,RJ,0,3,18
15070048310374146,2021-01,82.0,12.979709357000207,Indústria,Médio,RO,1,2,20
15070048310374146,2021-02,81.0,13.13865986537122,Indústria,Médio,RO,1,2,20
15070048310374146,2021-03,75.0,12.606890304289402,Indústria,Médio,RO,1,2,20
15070048310374146,2021-07,75.0,13.021744933663026,Indústria,Médio,RO,1,2,20
15070048310374146,2021-09,78.0,13.028092257590155,Indústria,Médio,RO,1,2,20
15070048310374146,2021-10,77.0,12.593624939519826,Indústria,Médio,RO,1,2,20
18719614953021044,2018-12,81.0,12.12778672713163,Comércio,Grande,BA,0,0,3
18719614953021044,2019-02,86.0,9.509703949201802,Comércio,Grande,BA,0,0,3
18719614953021044,2019-08,90.0,12.731845008179361,Comércio,Grande,BA,0,0,3
18719614953021044,2020-12,91.0,12.51737358358059,Comércio,Grande,BA,0,0,3
18719614953021044,2021-02,94.0,11.85634494210651,Comércio,Grande,BA,0,0,3
18719614953021044,2021-06,96.0,13.191415447139029,Comércio,Grande,BA,0,0,3
18719614953021044,2021-07,99.0,12.672739463809213,Comércio,Grande,BA,0,0,3
18719614953021044,2021-08,98.0,12.89665905010024,Comércio,Grande,BA,0,0,3
18719614953021044,2021-09,97.0,11.194124173459578,Comércio,Grande,BA,0,0,3
39547025441582855,2018-09,99.0,13.227688692442621,Serviços,Pequeno,BA,3,3,3
39547025441582855,2018-10,93.0,11.0361791548571,Serviços,Pequeno,BA,3,3,3
39547025441582855,2018-11,101.0,13.16848522287091,Serviços,Pequeno,BA,3,3,3
39547025441582855,2018-12,97.0,12.131009602056386,Serviços,Pequeno,BA,3,3,3
39547025441582855,2019-01,105.0,12.306854193699227,Serviços,Pequeno,BA,3,3,3
39547025441582855,2019-02,99.0,12.213926721369312,Serviços,Pequeno,BA,3,3,3
39547025441582855,2019-03,100.0,11.758573871624508,Serviços,Pequeno,BA,3,3,3
39547025441582855,2019-04,103.0,12.707705141692244,Serviços,Pequeno,BA,3,3,3
39547025441582855,2019-05,100.0,13.40149701588615,Serviços,Pequeno,BA,3,3,3
39547025441582855,2019-06,97.0,9.773663564699927,Serviços,Pequeno,BA,3,3,3
39547025441582855,2019-07,97.0,13.685871010846276,Serviços,Pequeno,BA,3,3,3
39547025441582855,2019-08,104.0,12.248998026381605,Serviços,Pequeno,BA,3,3,3
39547025441582855,2019-09,101.0,12.87957818583483,Serviços,Pequeno,BA,3,3,3
39547025441582855,2019-10,106.0,11.929264569630272,Serviços,Pequeno,BA,3,3,3
39547025441582855,2019-11,107.0,12.61278364386136,Serviços,Pequeno,BA,3,3,3
39547025441582855,2019-12,98.0,13.026154193616993,Serviços,Pequeno,BA,3,3,3
39547025441582855,2020-02,110.0,12.01135861828617,Serviços,Pequeno,BA,3,3,3
39547025441582855,2020-03,103.0,12.884004660283638,Serviços,Pequeno,BA,3,3,3
